Frequency 1,Frequency 2,Difference in mean ranks,Z-value,p-value,Significant
125.0,250.0,-1.097142857142856,-6.490784676315002,-0.19999999999999996,Yes
125.0,500.0,-4.079999999999998,-24.137605515046424,1.0,Yes
125.0,750.0,-1.5885714285714272,-9.398115312581098,0.0,Yes
125.0,1000.0,-1.9314285714285724,-11.42648552392955,0.19999999999999996,Yes
250.0,500.0,-2.982857142857142,-17.646820838731422,0.8,Yes
250.0,750.0,-0.4914285714285711,-2.9073306362660953,-0.6000000000000001,Yes
250.0,1000.0,-0.8342857142857163,-4.935700847614549,-0.3999999999999999,Yes
500.0,750.0,2.491428571428571,14.739490202465328,0.6,Yes
500.0,1000.0,2.148571428571426,12.711119991116874,0.4,Yes
750.0,1000.0,-0.3428571428571452,-2.0283702113484536,-0.8,Yes
