Frequency 1,Frequency 2,Difference in mean ranks,Z-value,p-value,Significant
125.0,250.0,0.45714285714285685,2.7044936151312515,0.0,No
125.0,500.0,0.7857142857142856,4.6483484010068405,0.6,Yes
125.0,750.0,1.1142857142857143,6.59220318688243,1.0,Yes
125.0,1000.0,0.9285714285714284,5.493502655735357,0.8,Yes
250.0,500.0,0.32857142857142874,1.9438547858755892,-0.19999999999999996,No
250.0,750.0,0.6571428571428575,3.8877095717511785,0.4,Yes
250.0,1000.0,0.47142857142857153,2.7890090406041055,0.19999999999999996,No
500.0,750.0,0.32857142857142874,1.9438547858755892,-0.19999999999999996,No
500.0,1000.0,0.1428571428571428,0.8451542547285162,-0.8,No
750.0,1000.0,-0.18571428571428594,-1.098700531147073,-0.6000000000000001,No
