Frequency 1,Frequency 2,Difference in mean ranks,Z-value,p-value,Significant
125.0,250.0,-3.5599999999999987,-21.061244027834626,0.0,Yes
125.0,500.0,-5.434285714285714,-32.14966784987277,0.6,Yes
125.0,750.0,-7.125714285714285,-42.1562942258584,0.8,Yes
125.0,1000.0,-8.274285714285714,-48.95133443387568,1.0,Yes
250.0,500.0,-1.8742857142857154,-11.088423822038145,-0.3999999999999999,Yes
250.0,750.0,-3.565714285714286,-21.095050198023777,0.19999999999999996,Yes
250.0,1000.0,-4.714285714285715,-27.890090406041054,0.4,Yes
500.0,750.0,-1.6914285714285704,-10.00662637598563,-0.6000000000000001,Yes
500.0,1000.0,-2.84,-16.80166658400291,-0.19999999999999996,Yes
750.0,1000.0,-1.1485714285714295,-6.795040208017279,-0.8,Yes
